student_number,course_code,semester_code
STU-2026-001,CS-101,FALL-2026
STU-2026-002,CS-101,FALL-2026
STU-2026-003,CS-101,FALL-2026
STU-2026-004,CS-101,FALL-2026
STU-2026-005,CS-101,FALL-2026
STU-2026-006,CS-101,FALL-2026
STU-2026-007,CS-101,FALL-2026
STU-2026-008,CS-101,FALL-2026
STU-2026-009,CS-101,FALL-2026
STU-2026-010,CS-101,FALL-2026
STU-2026-011,CS-201,FALL-2026
STU-2026-012,CS-201,FALL-2026
STU-2026-013,CS-201,FALL-2026
STU-2026-014,CS-201,FALL-2026
STU-2026-015,CS-201,FALL-2026
STU-2026-016,CS-201,FALL-2026
STU-2026-017,CS-201,FALL-2026
STU-2026-018,CS-201,FALL-2026
STU-2026-019,CS-201,FALL-2026
STU-2026-020,CS-201,FALL-2026
STU-2026-021,CS-305,FALL-2026
STU-2026-022,CS-305,FALL-2026
STU-2026-023,CS-305,FALL-2026
STU-2026-024,CS-305,FALL-2026
STU-2026-025,CS-305,FALL-2026
STU-2026-026,CS-305,FALL-2026
STU-2026-027,CS-305,FALL-2026
STU-2026-028,CS-305,FALL-2026
STU-2026-029,CS-305,FALL-2026
STU-2026-030,CS-305,FALL-2026
STU-2026-031,SE-302,FALL-2026
STU-2026-032,SE-302,FALL-2026
STU-2026-033,SE-302,FALL-2026
STU-2026-034,SE-302,FALL-2026
STU-2026-035,SE-302,FALL-2026
STU-2026-036,SE-302,FALL-2026
STU-2026-037,SE-302,FALL-2026
STU-2026-038,SE-302,FALL-2026
STU-2026-039,SE-302,FALL-2026
STU-2026-040,SE-302,FALL-2026
STU-2026-041,IS-401,FALL-2026
STU-2026-042,IS-401,FALL-2026
STU-2026-043,IS-401,FALL-2026
STU-2026-044,IS-401,FALL-2026
STU-2026-045,IS-401,FALL-2026
STU-2026-046,IS-401,FALL-2026
STU-2026-047,IS-401,FALL-2026
STU-2026-048,IS-401,FALL-2026
STU-2026-049,IS-401,FALL-2026
STU-2026-050,IS-401,FALL-2026
STU-2026-051,CS-101,FALL-2026
STU-2026-052,CS-101,FALL-2026
STU-2026-053,CS-101,FALL-2026
STU-2026-054,CS-101,FALL-2026
STU-2026-055,CS-101,FALL-2026
STU-2026-056,CS-101,FALL-2026
STU-2026-057,CS-101,FALL-2026
STU-2026-058,CS-101,FALL-2026
STU-2026-059,CS-101,FALL-2026
STU-2026-060,CS-101,FALL-2026
